NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,421.6154
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,448.7727
b38a03232f43b11c9d0788abaf060f7366053b6d,572.45
70b682d9a3636be23f6120fa9d6b164eb3c6002d,3.6457
715494628a50142ce8cb17191cfe6d0f3cae0934,562.7786
e656d6bad65c93fb2880f1eba5037008c8e75774,481.3141
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,557.6622
11539e86171bf07d3a36f09377d7f54ebcc8406a,411.266
043c544a2104aa8a9849f1a703a08d37a2f16839,468.7129
76ba050e64ad100b856f0eaabd8f539d5c7dd185,465.3013
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-8.1931
db4da599aab5bb08dce27094a35fd3e36cd0abce,-10.6794
940aede382ccb332fab15d413217695ec44ca765,476.9076
9ad714b116da76d878dd399d187fccc2dd13dd63,546.4064
dd34464a4d780b12a089347ad580418ac57a3055,520.4908
f837a4cb05a5fd59d20138182f5e8c721eadd584,485.0987
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-8.2252
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-1.3974
8b0c675d7fde14953668269d378c588f0df0498b,-3.1358
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,386.0867
3d203727f27abd83b71732d88d8cb1cc099f363b,421.1483
d30d31c8ff45094e9a992c63d4a6f68b245a341a,91.2288
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-15.2347
cbc301183dec912f3513ca766bf03dd565f3a38f,492.0801
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,619.3988
11282da1ee78c8db45a041db4c744e33df489df0,454.5669
03c67f683a415c2ea09b582248bd4cb08528c19d,596.7102
046e844fb06a07ba30b41521f0065a8d9c6e5024,392.8982
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,482.08
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,16.5766
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-16.0535
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,425.4974
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,533.8784
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,488.5012
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,535.8749
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,493.553
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,478.8974
59bfa081e020013410d9f60f91813964ba749bb2,427.4755
f5e069ee3bc95998464e8ff5da048b7f999921ed,407.4958
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,562.5723
664f44258212a1f7e4086f2b4845d586c543fa3f,473.9641
265cd7befa74a9f2a198fc57baec9858075f8419,439.2802
6f9ac44919bbd204e0ef15185388fd2d4bc61253,510.4372
78de1ee60b55766cc3eba4089e36c57139b66ebd,462.7428
24550edb10f283ef4e953fd6a8fedbfa211bd456,-12.8521
1e61a474acdc043eb39a89c17fab34bd2ea1a940,439.3489
940af68ded6af2875708611051aa7ff3f134d80b,499.9267
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,491.1344
c76ddf6e9f80984e901b12f9462a3cf029bea290,537.8168
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,472.8877
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,79.0713
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,47.2335
92823d467a2ced9529801e0e8a94802dd88f0c17,438.8264
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,597.5595
413cbb38b2e2522f8167ffb9daeac1347b281393,489.3694
68985fad004092956a4b4ce94dd53dc76d07eaf7,479.2539
bdca9aeb19521675af15f2c28d86f6bebc45a834,495.9861
b65b19d42b7a4b644fe9f99366dcb37b120862d9,423.3872
eda898aa8ec465cbac70de72ead0c6d688e5f95a,458.3523
5357b6c09be4c7f3829b72f80de846a9228253cb,2.447
8d5c4481d736f6ce27976e400f4245bf10757608,423.9897
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,9.8641
089613ac7dca24109f84c72a97c83b2768b1df1c,-8.092
527773409bf373301dbd835e59a263c035c043b8,-12.6006
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,-13.2924
c4cea54435c0fd0e171eed4c215479bb3ca86113,439.5844
7d5cd89c6112b9a202a025a24355135bc60848c6,482.0531
b70ab62384aa80545928a311f5b5d3db2f4d87ee,541.2436
c96431dd924f366d2229a7f1455388b8cd85be49,584.4397
1b72da5bb82cc150ecfe71218c02f155d694230b,-15.7825
e429507efe1c2680cc464481850117d17083cd88,6.7038
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,414.9549
